instance_name,algorithm,execution_time,cost,total_distance,feasible
dataset_size3_1,or_tools,299.67471470008604,238.15,88.51,True
dataset_size3_1,nearest_neighbour,0.0001066999975591898,247.19,88.58,True
dataset_size3_1,two_opt,0.00021489989012479782,246.95,88.19,True
dataset_size3_2,or_tools,300.9823013001587,238.35999999999999,88.86999999999999,True
dataset_size3_2,nearest_neighbour,0.0002571998629719019,247.63,89.3,True
dataset_size3_2,two_opt,0.00040989997796714306,247.29,88.75,True
dataset_size3_3,or_tools,301.37526910007,262.28,127.24,True
dataset_size3_3,nearest_neighbour,6.630015559494495e-05,277.09,136.57,True
dataset_size3_3,two_opt,0.00011330004781484604,271.24,127.19999999999999,True
dataset_size4_1,or_tools,299.9184626999777,241.73,94.27,True
dataset_size4_1,nearest_neighbour,4.4899992644786835e-05,259.37,108.16,True
dataset_size4_1,two_opt,0.0002080998383462429,250.67000000000002,94.19,True
dataset_size4_2,or_tools,299.95988990017213,227.75,71.84,True
dataset_size4_2,nearest_neighbour,9.12998802959919e-05,236.89,72.07000000000001,True
dataset_size4_2,two_opt,0.00010879989713430405,236.72,71.8,True
dataset_size4_3,or_tools,299.89531769999303,265.08,131.74,True
dataset_size4_3,nearest_neighbour,0.0002707000821828842,282.84,145.82,True
dataset_size4_3,two_opt,0.00017120013944804668,273.88,131.42000000000002,True
dataset_size5_1,or_tools,299.8961209000554,256.21,117.52,True
dataset_size5_1,nearest_neighbour,7.529999129474163e-05,274.85,132.99,True
dataset_size5_1,two_opt,0.000242199981585145,265.19,117.49000000000001,True
dataset_size5_2,or_tools,299.8784541001078,271.82,142.57000000000002,True
dataset_size5_2,nearest_neighbour,0.0004064999520778656,297.06,168.66,True
dataset_size5_2,two_opt,0.00031560007482767105,280.76,142.49,True
dataset_size5_3,or_tools,299.9345040000044,239.75,91.11,True
dataset_size5_3,nearest_neighbour,7.459986954927444e-05,250.04,93.17,True
dataset_size5_3,two_opt,0.00019349996000528336,249.36,92.08,True
dataset_size6_1,or_tools,299.900548200123,272.65999999999997,143.93,True
dataset_size6_1,nearest_neighbour,6.400002166628838e-05,300.81,174.64,True
dataset_size6_1,two_opt,0.00041089998558163643,281.64,143.89999999999998,True
dataset_size6_2,or_tools,299.93862250004895,252.99,112.35,True
dataset_size6_2,nearest_neighbour,7.13001936674118e-05,264.26,116.00999999999999,True
dataset_size6_2,two_opt,0.0003745998255908489,261.47,111.52,True
dataset_size6_3,or_tools,299.87948000011966,272.32,143.4,True
dataset_size6_3,nearest_neighbour,4.91999089717865e-05,300.46999999999997,174.11,True
dataset_size6_3,two_opt,0.0004157999064773321,281.3,143.37,True
dataset_size7_1,or_tools,299.9034704999067,258.12,120.58,True
dataset_size7_1,nearest_neighbour,5.020014941692352e-05,273.57,130.95000000000002,True
dataset_size7_1,two_opt,0.0005447999574244022,266.52,119.62,True
dataset_size7_2,or_tools,299.9538832998369,245.73999999999998,100.71000000000001,True
dataset_size7_2,nearest_neighbour,6.960006430745125e-05,263.85,115.35,True
dataset_size7_2,two_opt,0.0004986999556422234,254.68,100.63000000000001,True
dataset_size7_3,or_tools,2859.8756140000187,279.71,155.23,True
dataset_size7_3,nearest_neighbour,0.0001384001225233078,298.48,170.91,True
dataset_size7_3,two_opt,0.0008654999546706676,282.48,145.25,True
dataset_size8_1,or_tools,300.8059610000346,276.93,150.78,True
dataset_size8_1,nearest_neighbour,6.889994256198406e-05,301.49,175.75,True
dataset_size8_1,two_opt,0.0005765999667346478,285.9,150.73999999999995,True
dataset_size8_2,or_tools,299.90110490005463,276.55,150.16000000000003,True
dataset_size8_2,nearest_neighbour,0.00018989993259310722,301.11,175.13,True
dataset_size8_2,two_opt,0.0011090999469161034,285.52,150.12,True
dataset_size8_3,or_tools,299.8483370000031,267.53,135.69000000000003,True
dataset_size8_3,nearest_neighbour,5.439994856715202e-05,287.09999999999997,152.66,True
dataset_size8_3,two_opt,0.0006088998634368181,276.5,135.65000000000003,True
dataset_size9_1,or_tools,299.9233909000177,282.96999999999997,160.46000000000004,True
dataset_size9_1,nearest_neighbour,8.699996396899223e-05,311.19,191.32,True
dataset_size9_1,two_opt,0.0007030998822301626,291.91,160.38,True
dataset_size9_2,or_tools,299.8678983000573,277.38,151.5,True
dataset_size9_2,nearest_neighbour,0.00016510020941495895,301.94,176.47,True
dataset_size9_2,two_opt,0.0005420001689344645,286.35,151.45999999999998,True
dataset_size9_3,or_tools,299.92456130008213,286.76,166.56,True
dataset_size9_3,nearest_neighbour,7.129996083676815e-05,312.01,192.64,True
dataset_size9_3,two_opt,0.000680800061672926,292.73,161.7,True
